"","Atlantic silverside and bay anchovies","Bacterioplankton","Benthic bacteria","Benthos-eating birds","Blue crabs","Brittle stars","Catfish and stingrays","Deposit-feeding gastropods","Deposit-feeding peracaridan crustaceans","Deposit-feeding polychaetes","Epiphyte-grazing amphipods","Epiphyte-grazing gastropods","Fish and crustacean-eating birds","Fish-eating birds","Gobies and blennies","Gulf flounder and needlefish","Gulls","Herbivorous ducks","Herbivorous shrimps","Hermit crabs","Isopods","Killifishes","Meiofauna","Microfauna","Microprotozoa","Omnivorous crabs","Other gastropods","Pinfish","Pipefish and seahorses","Predatory gastropods","Predatory polychaetes","Predatory shrimps","Raptors","Red drum","Sheepshead minnow","Southern hake and sea robins","Spider crabs","Spot","Suspension-feeding molluscs","Suspension-feeding polychaetes","Tonguefish","Zooplankton"
"Killifishes",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Macro-epiphytes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,25,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0
"Meiofauna",0,0,0,0,0,10,0,1,0,18,0,0,0,0,33,0,0,0,0,9,0,9,3,0,0,0,0,43,40,0,42.5,16.9,0,0,1,0,0,60,0,0,0,0
"Micro-epiphytes",0,0,0,0,0,0,0,0,0,0,30,100,0,0,0,0,0,3,50,0,50,0,0,0,0,5,100,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0
"Microfauna",0,0,0,0,0,3,0,1,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Microprotozoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5
"Omnivorous crabs",0,0,0,1.5,1,0,0.5,0,0,0,0,0,0,0,3.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0
"Other gastropods",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0
"Phytoplankton",4.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,40,0,0,0,0,0,9,0,0,0,0,0,0,0,80,0,0,88
"Pinfish",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pipefish and seahorses",0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
"Predatory polychaetes",4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,2,0.8,0,0,7,0,3,0,0,0,2,0,0,0,0
"Predatory shrimps",7,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,27,0,0.5,0,0,0,0
"Red drum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Sheepshead minnow",0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
"Southern hake and sea robins",0,0,0,0,0.5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Spot",26,0,0,0,0,0,2,0,0,0,0,0,40.2,5,0,98,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,8,0,41,0,0,0,0,0,0
"Suspension-feeding molluscs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
"Suspension-feeding polychaetes",1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1.9,0,0.5,0,0,0,0.5,0,0,0,0
"Zooplankton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,16,2,0,0,0,0,0,1,1,0,0.5,0,1,0,0
