"","Alkmaria romijni","Ampithoe valida","Aonides oxycephala","Capitella capitata","Carcinus maenas","Cerastoderma edule","Chaetozone setosa","Crangon crangon","Cyathura carinata","Diopatra neapolitana","Eteone flava","Gibulla umbilicalis","Glycera tridactyla","Haminoea hydatis","Hediste diversicolor","Heteromastus filiformis","Hydrobia ulvae","Idotea chelipes","Lagis koreni","Lekanesphaera levii","Littorina littorea","Lumbrineris impatiens","Melita palmata","Mytilus sp1 FW_016_01","Nemertini","Nephthys sp1 FW_016_01","Oligochaeta","Pygospio elegans","Scrobicularia plana","Streblospio shrubsolii","Zooplankton"
"Hydrobia ulvae",0,0,0,0,0.03,0,0,0.07,0,0.09,0,0,0.095,0,0.129,0,0,0,0,0,0,0.07,0,0,0.05,0,0,0,0,0,0
"Idotea chelipes",0,0,0,0,0.005,0,0,0.005,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0.001,0,0,0.01,0,0,0,0,0,0
"Imports",0,0,0,0,0.18,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lagis koreni",0,0,0,0,0.001,0,0,0.002,0,0.01,0,0,0.001,0,0.002,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0
"Lekanesphaera levii",0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0
"Littorina littorea",0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.035,0,0,0.01,0,0,0,0,0,0
"Lumbrineris impatiens",0,0,0,0,0.01,0,0,0.015,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.02,0.002,0,0,0,0,0
"Melita palmata",0,0,0,0,0.03,0,0,0.03,0.045,0.01,0,0,0.03,0,0.002,0,0,0,0,0,0,0.002,0,0,0.04,0.008,0,0,0,0,0
"Microphytobenthos",0,0.1,0,0,0,0.1,0,0,0,0,0,0.3,0,0.3,0.05,0,0.32,0.1,0,0.6,0.05,0.05,0.1,0.1,0,0.05,0,0,0.2,0,0
"Mytilus sp1 FW_016_01",0,0,0,0,0.001,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nemertini",0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0,0,0,0,0,0,0.001,0,0,0.05,0,0,0,0,0,0
"Nephthys sp1 FW_016_01",0,0,0,0,0.005,0,0,0.001,0,0,0,0,0.003,0,0.002,0,0,0,0,0,0,0.001,0,0,0.005,0.001,0,0,0,0,0
"Oligochaeta",0,0,0,0,0.001,0,0,0.005,0.02,0,0,0,0.04,0,0.04,0,0,0.15,0,0,0,0.01,0,0,0.05,0.08,0,0,0,0,0
"Phytoplankton",0.1,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.8,0,0,0,0.6,0.2,0,0.98
"Pygospio elegans",0,0,0,0,0,0,0,0,0,0,0.1,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0
"Scrobicularia plana",0,0,0,0,0.06,0,0,0.06,0,0.01,0,0,0.05,0,0.007,0,0,0,0,0,0,0.035,0,0,0.03,0.024,0,0,0,0,0
"Streblospio shrubsolii",0,0,0,0,0,0,0,0,0.005,0.01,0.2,0,0.001,0,0.005,0,0,0,0,0,0,0.001,0,0,0.005,0,0,0,0,0,0
"Zooplankton",0,0,0,0,0.06,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0.02
"Zostera noltii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0
